partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
12110821 , 1211-0821 , STANDARD , Sprocket - Aluminum - Honda - 50-Tooth , Each , JT SPROCKETS , JTA215.50 ,  , 18.2 , 18.2 , 29.95 , 35.95 , http://asset.lemansnet.com/z/LzkvMC80LzkwNDNBNDhDLUM2NjgtNEM5Ni04NjI1LUI1OTY5QTZDNDI5Mg== , 923273745 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12120117 , 1212-0117 , STANDARD , Sprocket - Rear - Honda - 56-Tooth , Each , JT SPROCKETS , JTR215.56 ,  , 15.3 , 15.3 , 25.95 , 25.95 , http://asset.lemansnet.com/z/L0MvOC9DL0M4Q0E0RUNBLTE5RjgtNDhBMS1COUQ1LTM3MTk2RjQ4MTEyMw== , 1806279591 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12120118 , 1212-0118 , STANDARD , Sprocket - Rear - Honda - 50-Tooth , Each , JT SPROCKETS , JTR217.50 ,  , 14.9 , 14.9 , 24.95 , 25.95 , http://asset.lemansnet.com/z/L0EvQy9EL0FDREQxNEE3LTRDQkUtNEE2My1BNjJGLTk5OEE0RDMzRkIwNg== , 1518814972 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
JTR120446 , JTR1204-46 , STANDARD , Sprocket - Rear - Honda - 46-Tooth , Each , JT SPROCKETS , JTR1204.46 ,  , 13.3 , 13.3 , 22.95 , 22.95 , http://asset.lemansnet.com/z/LzIvNy9FLzI3RTU5QjExLUI1MzAtNDNFMS05RDkxLTE0RkFDNUFGNzM3Mw== , 485479343 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
JTR130442 , JTR1304-42 , STANDARD , Sprocket - Rear - Honda - 42-Tooth , Each , JT SPROCKETS , JTR1304.42 ,  , 21.6 , 21.6 , 36.95 , 36.95 , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNSwvMC80L0QvMDREQ0EwNEQtMDBENi00MjQyLTk1MkMtOUREQTEwQ0M2OTUz , 1623868863 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
JTR120450 , JTR1204-50 , STANDARD , Sprocket - Rear - Honda - 50-Tooth , Each , JT SPROCKETS , JTR1204.50 ,  , 14.6 , 14.6 , 24.95 , 24.95 , http://asset.lemansnet.com/z/L0IvRC80L0JENEMzQzlFLTlCNTQtNDI5Ni1BMDAwLTg5RDRDRjkxMkY4MQ== , 2053263034 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
JTR121436 , JTR1214-36 , STANDARD , Sprocket - Rear - Honda - 36-Tooth , Each , JT SPROCKETS , JTR1214.36 ,  , 10.4 , 10.4 , 17.95 , 17.95 , http://asset.lemansnet.com/z/LzcvQy9GLzdDRkUwQjUwLTQxQkQtNDVFQS05NEE3LUQ0QUZFMjJGQUM4NA== , 2036266050 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
JTR133238 , JTR1332-38 , STANDARD , Sprocket - Rear - Honda - 38-Tooth , Each , JT SPROCKETS , JTR1332.38 ,  , 21.3 , 21.3 , 35.95 , 35.95 , http://asset.lemansnet.com/z/LzIvRi82LzJGNjk4QzQ5LUJGRkEtNDJGMy1CNTlELUZCQzMxQTJBRDA1MA== , 1770418986 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
JTR130642 , JTR1306-42 , STANDARD , Sprocket - Rear - Honda - 42-Tooth , Each , JT SPROCKETS , JTR1306.42 ,  , 26.3 , 26.3 , 43.95 , 43.95 , http://asset.lemansnet.com/z/L0IvOS82L0I5NjQ2NEZBLTRFODAtNEEwMC1BMjI1LTUyRTBGNUVFOUNDOQ== , 1188414104 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
JTR135038 , JTR1350-38 , STANDARD , Sprocket - Rear - Honda - 38-Tooth , Each , JT SPROCKETS , JTR1350.38 ,  , 16 , 16 , 26.95 , 27.95 , http://asset.lemansnet.com/z/LzAvMy8wLzAzMDUxNDMyLTYxQkItNEUxRS1CNkYzLTZFMzBCMkU1MUQwQg== , 706848416 , Sprocket — Honda , http://asset.lemansnet.com/z/LzkvOC9FLzk4RUZBOEI1LUUyRDAtNDcwMy04QUU5LTM1QjdBQTlBNzlGNQ== , Computer designed to achieve ultimate strength at minimum weight , JT combines leading-edge technology with top materials to produce the ultimate quality sprocket range with unbeatable value , Every sprocket meets or exceeds the highest possible quality standards , Sprockets are heat-treated and beadblasted to reduce material surface tension , Front sprockets are made with top-quality Japanese C45 high carbon steel and SCM415 chromoly steel alloy , Steel rear sprockets are made with top-quality Japanese C45 high carbon steel , Aluminum rear sprockets are made with high strength Austrian 7075 T-6 anodized aluminum , JT aluminum sprockets are about 30% lighter than a comparable steel equivalent which reduces un-sprung rotating weight and improves performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
