partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
10111058 , 1011-1058 , STANDARD , Air Filter Mikuni 36-38 , Kit , K & N , RC-0850 ,  , 56.6 , 56.6 , 86.95 , 86.95 , http://asset.lemansnet.com/z/L0UvMC8zL0UwMzZEMjE3LTEwQ0YtNDlFRi1CMzk5LTIyNDlENTQ3MkJEOA== , 955427410 , Custom Air Cleaner Assembly — Open/Round , http://asset.lemansnet.com/z/L0UvQy85L0VDOTkyQjhGLTQxNjQtNDg4OS1CRThFLTUzQ0E3ODZBOTZERQ== , Designed to fit Harley-Davidson motorcycles equipped with various carburetors , These air cleaners mount directly to the carburetor flange , Increase horsepower with proper carburetor calibration , Made in the U.S.A. , Some are not legal for sale or use on any pollution controlled motor vehicle. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
HA0011 , HA-0011 , CLOSEOUT , Air Filter VTR1000 , Each , K & N , HA-0011 ,  , 95.8 , 95.8 , 172.95 , 172.95 , http://asset.lemansnet.com/z/LzkvQi84LzlCOEVGMTJBLTg4MjAtNDQ4Ri1CQUEyLUREM0YzOTM0REExMg== , 1449624521 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
KA7589 , KA-7589 , CLOSEOUT , Air Filter ZX-7 (89-90) , Each , K & N , KA-7589 ,  , 21.7 , 21.7 , 69.95 , 71.95 , http://asset.lemansnet.com/z/LzIvNS9CLzI1QkU4REQ3LURBMjctNEZDMy1CRUY2LTdFMDE0M0JERTEzMQ== , 1449624521 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10110333 , 1011-0333 , STANDARD , Air Filter Aprilia , Each , K & N , AL-1004 ,  , 53.9 , 53.9 , 81.95 , 81.95 , http://asset.lemansnet.com/z/L0EvRC84L0FEODI3QkE3LTE2QTAtNDQyOC04NzIxLUE0MUQ4MjQ0RTdFQw== , 924303069 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10110532 , 1011-0532 , STANDARD , Air Filter XL , Each , K & N , HD-8834 ,  , 62 , 62 , 94.95 , 94.95 , http://asset.lemansnet.com/z/L0IvMS9GL0IxRkMxQjRBLTBCOTktNDE1Qy05NThBLTU3OTFDQTk5QUExOA== , 1173107730 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10110548 , 1011-0548 , STANDARD , Air Filter Kawasaki VN1600 , Each , K & N , KA-1603 ,  , 59.5 , 59.5 , 90.95 , 90.95 , http://asset.lemansnet.com/z/LzAvNC9ELzA0RDQ3REJCLTEyRUYtNEZBMC05MEYyLThEMkNBM0M3M0VDRQ== , 361598972 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10110551 , 1011-0551 , STANDARD , Air Filter Arctic Cat , Each , K & N , AC-6504 ,  , 50 , 50 , 75.95 , 75.95 , http://asset.lemansnet.com/z/LzUvRS8wLzVFMEM1MUFDLUFERDAtNDIzQy1BNjdELUE3OUYxRjdFN0RGRg== , 1372065181 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10110655 , 1011-0655 , STANDARD , Air Filter Yamaha XV1700 , Each , K & N , YA-1704 ,  , 57 , 57 , 86.95 , 86.95 , http://asset.lemansnet.com/z/LzUvRC81LzVENUY5NDJCLTI5QkQtNEFDMy1CRjE1LUREQUVDMzY1MDg1Mw== , 1381776066 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10110890 , 1011-0890 , STANDARD , Air Filter Triumph , Each , K & N , TB-1005 ,  , 48.1 , 48.1 , 72.95 , 72.95 , http://asset.lemansnet.com/z/LzIvQy85LzJDOTkxOThELTVERDUtNDEwQi05MTI5LTc0QzcxMzU0MzM4NQ== , 1753878378 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10111343 , 1011-1343 , STANDARD , Air Filter YFM700F Grizzly , Each , K & N , YA-7007 ,  , 57.4 , 57.4 , 87.95 , 87.95 , http://asset.lemansnet.com/z/LzIvQi84LzJCODJDNDY0LUU1NTYtNDAyMS04OEYyLUE4MTU2MjI3MTA3RA== , 1315078456 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10111441 , 1011-1441 , STANDARD , Air Filter GSX1300BK , Each , K & N , SU-1348 ,  , 70.3 , 70.3 , 107.95 , 107.95 , http://asset.lemansnet.com/z/LzkvQy80LzlDNEUwNDA4LTQwRTMtNEMyNS1CQTJDLTBFNjlGOEM1QkExOA== , 444990133 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10111450 , 1011-1450 , STANDARD , Air Filter ZX10R Ninja , Each , K & N , KA-1008 ,  , 51 , 51 , 77.95 , 77.95 , http://asset.lemansnet.com/z/LzUvOC9FLzU4RUIwNUQyLTYyMDgtNDU1RC05MkFELTIyQTA2NzM2RjhBMw== , 2103770251 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10111480 , 1011-1480 , STANDARD , Air Filter YXR700 Rhino , Each , K & N , YA-7008 ,  , 63.5 , 63.5 , 96.95 , 96.95 , http://asset.lemansnet.com/z/L0EvQy84L0FDODk0RDA3LTBGRjUtNDM4RS1BNEFDLUQzODUxMDM0M0YyMA== , 1371348965 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10111627 , 1011-1627 , STANDARD , Air Filter GSXS750 , Each , K & N , SU-6006 ,  , 50.5 , 50.5 , 76.95 , 76.95 , http://asset.lemansnet.com/z/LzMvMS85LzMxOTFCNjdBLUIwM0QtNENERC1CMzAyLTFFNDJEMTlCNEQwQg== , 960122291 , High-Flow Air Filter , http://asset.lemansnet.com/z/L0IvQi80L0JCNDdCMjc3LTUxNTEtNDgxNi1BN0M3LTFDNEM5NTlGRDJCOA== , Fits directly into OEM airbox with application specific Sealing Bead to ensure a precise fit , Fuel-management modifications are not required for increased performance , Pleated media provides a large filtration area offering long service intervals , Designed to provide increased performance , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
