partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
37040250 , 3704-0250 , STANDARD , Contact Cleaner - 13 oz. , Each , MAXIMA RACING OIL , 72920-N ,  , 4.5 , 3.92 , 6.95 , 6.95 , http://asset.lemansnet.com/z/bWVkaWEvNzYzZjIyNDEtZGI2OS00NmY2LWE4N2ItNjM4YzFjMzg2ODg2LC84LzMvQi84M0IwMjBBMy1GMzQwLTQ5QTctQTVBNC1BRUNBMTYyMkE1MjU= , 1055919583 , Electrical Contact Cleaner , http://asset.lemansnet.com/z/LzgvMy9CLzgzQjAyMEEzLUYzNDAtNDlBNy1BNUE0LUFFQ0ExNjIyQTUyNQ== , Removes grease oil and other contaminants , Displaces moisture cleans brakes ignitions and carbs , Nonflammable extra-heavy propellant charge gives more spray pressure , Ozone-safe formula leaves no residue , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
37040252 , 3704-0252 , STANDARD , Air Filter Cleaner - 15.5 oz , Each , MAXIMA RACING OIL , 79920-N ,  , 6.5 , 5.66 , 9.95 , 9.95 , http://asset.lemansnet.com/z/bWVkaWEvNDc1NDA5ZTgtY2MwYS00MzVhLWIwMzAtMWUxMWYwODMzNzdmLC83L0UvRC83RURFNTNCQS0yNEZGLTREMTctODgwQi1FQTk4NTAwMTI3NTU= , 2120805772 , Air Filter Cleaner , http://asset.lemansnet.com/z/LzcvRS9ELzdFREU1M0JBLTI0RkYtNEQxNy04ODBCLUVBOTg1MDAxMjc1NQ== , For use on PWC motorcycle and ATV foam and fabric air filters , Highly effective emulsion formula contains no caustic chemicals , Removes heavy filter oils grease and other contaminants without damaging foam cells paper or glue and washes out with water , Easily washes out with water ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
37030045 , 3703-0045 , STANDARD , Dot 5 Brake Fluid - 500ml , Each , MAXIMA RACING OIL , 80-81916 ,  , 12.3 , 10.7 , 18.95 , 18.95 , http://asset.lemansnet.com/z/bWVkaWEvMzI4MmI3NjItMWI2Yy00ZjVjLWFiZGEtZDU2OTEzNGRhNTg1LC84LzUvOS84NTlGNzA4RC0yMUE5LTQyRTEtOUNGQi1DOEY4REI0QTdCRDY= , 2001249167 , DOT 5 Brake Fluid , http://asset.lemansnet.com/z/LzgvNS85Lzg1OUY3MDhELTIxQTktNDJFMS05Q0ZCLUM4RjhEQjRBN0JENg== , For use in all vehicles specifying DOT 5 brake fluid , Durable and reliable stopping power , Anti-vapor lock formulation maintains responsive lever and pedal feel , Resists corrosion oxidation and “boil-off” , Mixes with other DOT 5 silicone brake fluids , Exceeds US FMVSS 116 DOT 5 specification , Do not use in systems that specify DOT 3 DOT 4 or DOT 5.1 fluids ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
83916 , 83916 , STANDARD , Hi Test Octane Boost , Each , MAXIMA RACING OIL , 83916 ,  , 4.2 , 3.65 , 6.5 , 6.5 , http://asset.lemansnet.com/z/bWVkaWEvODA0NjdmODMtNjhkMi00NDNjLWFmOWMtOGE3YTM5NDViNzk1LC85LzIvMS85MjEwNjMxMS1DMTRFLTQ5OEYtOEFBMi03NURFOEQ0NDQ5RDk= , 1001689503 , Hi Test Octane Booster , http://asset.lemansnet.com/z/LzkvMi8xLzkyMTA2MzExLUMxNEUtNDk4Ri04QUEyLTc1REU4RDQ0NDlEOQ== , Concentrated octane booster increases pump gas octane rating , Eliminates pre-detonation , Mix either with straight gas or with alcohol and nitrous mixtures , For 2- or 4-stroke engines , Legal for all racing applications , Won't harm or discolor plastic gas tanks , Cleans fuel delivery systems , Each ounce of octane booster per gallon of gas raises octane rating by four points , Made in the U.S.A. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
37030044 , 3703-0044 , STANDARD , Racing Dot 4 Brake Fluid , Each , MAXIMA RACING OIL , 80-87916 ,  , 11 , 9.57 , 16.95 , 16.95 , http://asset.lemansnet.com/z/bWVkaWEvNjMxMTQ0MmMtMDg0Yi00ZGFlLThiMWYtZjJiMDczZTNkZmE1LC9ELzQvNS9ENDU4RTEyNi00NDUxLTRGMEMtOUU0NS0zQkMxMTM1QjY5NTgsL0YvRi81L0ZGNUNEOTIzLTE1NzctNDFGOS04NTFBLThGMUZGNzYwMEU4Mg== , 867099526 , DOT 4 Racing Brake Fluid , http://asset.lemansnet.com/z/L0YvRi81L0ZGNUNEOTIzLTE1NzctNDFGOS04NTFBLThGMUZGNzYwMEU4Mg== , Synthetic zero-fade racing brake fluid designed to ensure maximum stopping power and protection for critical brake system components under the most extreme racing conditions , Extensively developed formulation maintains unparalleled responsiveness and performance by preventing water contamination and vaporization in any environment , Advanced chemistry resists oxidation under excessive temperature prevents corrosion and is compatible with SBR and EPDM rubbers , Extremely high boiling point over 600 degrees , High temperature additive system , Anti-vapor lock formulation , Mixes with other DOT 3 and DOT 4 brake fluids , Exceeds US FMVSS 116 DOT 3 & DOT 4 SAE J1703 and SAE J1704 , Do not use in DOT 5 silicone brake systems or mix with silicone based fluids ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
37030046 , 3703-0046 , STANDARD , Dot 5.1 Brake Fluid - 500ml , Each , MAXIMA RACING OIL , 80-82916 ,  , 6.5 , 5.66 , 9.95 , 9.95 , http://asset.lemansnet.com/z/bWVkaWEvNDRhM2MwYTMtYWY3OS00MWY4LTg2NTMtYzAyNTZhNzVmNDhhLC8zLzUvQy8zNUMwMDBBQS05Q0YzLTRENTktOTAxMC1FNjYzNzU0OUQwMDQsLzQvNC9BLzQ0QTFGREZCLTI5MTUtNENGMi1CRDVGLTYxNjlDNjE5QkQwNw== , 1612696947 , DOT 5.1 Brake Fluid , http://asset.lemansnet.com/z/LzQvNC9BLzQ0QTFGREZCLTI5MTUtNENGMi1CRDVGLTYxNjlDNjE5QkQwNw== , High performance brake and clutch fluid designed to lubricate and protect critical brake system componentry while providing reliable stopping power , Anti-vapor lock formulation maintains responsiveness and performance by fighting both water contamination and vaporization , Advanced chemistry resists corrosion oxidation and is compatible with SBR EPDM and natural rubbers , Anti-vapor lock formulation maintains responsive lever and pedal feel , Resists corrosion oxidation and “boil-off” , Mixes with other DOT 3 DOT 4 and DOT 5.1 brake fluids , For use in all vehicles specifying DOT 5.1 brake fluid , Exceeds the requirements of US FMVSS 116 DOT 5.1 DOT 3 & DOT 4 SAE J1703 SAE J1704 and ISO 4925 (Classes 3 4 and 5.1) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
36010209 , 3601-0209 , STANDARD , Break-In Oil - 1 L , Each , MAXIMA RACING OIL , 30-10901 ,  , 5.8 , 5.05 , 8.95 , 8.95 , http://asset.lemansnet.com/z/bWVkaWEvMWQwMmRmYTktMTA1OS00ODNiLWExOTctNzQwYzFiNjBkYTg4LC9DLzAvMy9DMDMyQzM0Mi1CMDY3LTQ5OTAtQjhGNi05QjIzRjFFOThGMTQ= , 823765624 , Premium Break-In Mineral 4T Engine Oil , http://asset.lemansnet.com/z/L0MvMC8zL0MwMzJDMzQyLUIwNjctNDk5MC1COEY2LTlCMjNGMUU5OEYxNA== , Specifically designed for breaking in engines with flat tappet camshafts roller elements or where elevated levels of anti-wear additives are needed , Provides optimum ring seal , Formulated with high levels of zinc phosphorus and sulfur in a highly-refined mineral-base oil; complex zinc structure activates at lower temperatures and offers more protection at elevated temperatures , Compatible with petroleum semi-synthetic and fully-synthetic motor oils ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
23901 , 23901 , STANDARD , CASTOR 927 Oil - 1L , Each , MAXIMA RACING OIL , 23901 ,  , 13 , 11.31 , 19.95 , 19.95 , http://asset.lemansnet.com/z/bWVkaWEvMTkwYzk5MTctNmZmOS00YTRiLTkwZTYtMjA5MTU3ZmMwZWM3LC9FLzUvQi9FNUIzNjY5Qy03MkQ2LTQwM0QtQTY5Ri00MUEwRDIzQjZBMjI= , 944060527 , Castor 927 Pro Series Racing 2T Engine Oil , http://asset.lemansnet.com/z/L0UvNS9CL0U1QjM2NjlDLTcyRDYtNDAzRC1BNjlGLTQxQTBEMjNCNkEyMixWZ2JmRUc3VnJzdyxtOWkwM0ZfQmlsYw== , Unique blend of highly-refined castor oil a specially prepared synthetic and an additive system that reduces carbon and gum formation and is biodegradable , Provides excellent rust and corrosion protection , Also contains an exclusive additive that keeps power valves cleaner and working properly , Provides extra protection at the highest temperatures on cylinder walls bearing journals and other critical areas ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
23916 , 23916 , STANDARD , CASTOR 927 Oil - 1 US pint , Each , MAXIMA RACING OIL , 23916 ,  , 7.1 , 6.18 , 10.95 , 10.95 , http://asset.lemansnet.com/z/bWVkaWEvNzVjNmZhMGMtOTRlYS00OTExLTgyNjMtODVkMTNhYWNjYWY0LC85L0IvQS85QkFCMjg5MC01RkQ5LTQ0RkUtOTNDMi00MEEwNDhENjNGM0I= , 944060527 , Castor 927 Pro Series Racing 2T Engine Oil , http://asset.lemansnet.com/z/L0UvNS9CL0U1QjM2NjlDLTcyRDYtNDAzRC1BNjlGLTQxQTBEMjNCNkEyMixWZ2JmRUc3VnJzdyxtOWkwM0ZfQmlsYw== , Unique blend of highly-refined castor oil a specially prepared synthetic and an additive system that reduces carbon and gum formation and is biodegradable , Provides excellent rust and corrosion protection , Also contains an exclusive additive that keeps power valves cleaner and working properly , Provides extra protection at the highest temperatures on cylinder walls bearing journals and other critical areas ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
23964 , 23964 , STANDARD , CASTOR 927 Oil - 2 US quart , Each , MAXIMA RACING OIL , 23964 ,  , 24 , 20.88 , 36.95 , 36.95 , http://asset.lemansnet.com/z/bWVkaWEvYWYzNWQ1ZDQtMjllOC00MGI5LTk5NjUtYTNlNTc4MmVlOGI3LC83L0EvMS83QTFDQjc2NC00OUNELTREQTQtQTBCQi1BMjMwODk4RUQ2Q0M= , 944060527 , Castor 927 Pro Series Racing 2T Engine Oil , http://asset.lemansnet.com/z/L0UvNS9CL0U1QjM2NjlDLTcyRDYtNDAzRC1BNjlGLTQxQTBEMjNCNkEyMixWZ2JmRUc3VnJzdyxtOWkwM0ZfQmlsYw== , Unique blend of highly-refined castor oil a specially prepared synthetic and an additive system that reduces carbon and gum formation and is biodegradable , Provides excellent rust and corrosion protection , Also contains an exclusive additive that keeps power valves cleaner and working properly , Provides extra protection at the highest temperatures on cylinder walls bearing journals and other critical areas ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
