partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
3010605 , 0301-0605 , STANDARD , Tire - Diablo Rosso 3 - 120/70ZR17 , Each , PIRELLI , 2635200 ,  , 138.5 , 103.88 , 174.95 , 174.95 , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 1194608619 , Diablo Rosso III Tire — Front , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3010629 , 0301-0629 , STANDARD , Tire - Diablo Rosso 3 - 120/60ZR17 , Each , PIRELLI , 2635100 ,  , 138.4 , 103.8 , 174.95 , 174.95 , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 1194608619 , Diablo Rosso III Tire — Front , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3010683 , 0301-0683 , STANDARD , Tire - Diablo Rosso 3 - 120/70ZR17 , Each , PIRELLI , 2807800 ,  , 139.9 , 104.93 , 176.95 , 176.95 , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 1194608619 , Diablo Rosso III Tire — Front , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3021051 , 0302-1051 , STANDARD , Tire - Diablo Rosso 3 - 150/60ZR17 , Each , PIRELLI , 2635300 ,  , 172.3 , 129.23 , 217.95 , 217.95 , http://asset.lemansnet.com/z/LzYvQy82LzZDNjFGRDYxLTkwQjktNDYyQS05RTc0LTM0QUMxQTU5RUY4RCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 947217173 , Diablo Rosso III Tire — Rear , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3021052 , 0302-1052 , STANDARD , Tire - Diablo Rosso 3 - 190/50ZR17 , Each , PIRELLI , 2635700 ,  , 207.9 , 155.93 , 262.95 , 262.95 , http://asset.lemansnet.com/z/LzYvQy82LzZDNjFGRDYxLTkwQjktNDYyQS05RTc0LTM0QUMxQTU5RUY4RCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 947217173 , Diablo Rosso III Tire — Rear , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3021053 , 0302-1053 , STANDARD , Tire - Diablo Rosso 3 - 200/55ZR17 , Each , PIRELLI , 2635900 ,  , 228.3 , 171.23 , 288.95 , 288.95 , http://asset.lemansnet.com/z/LzYvQy82LzZDNjFGRDYxLTkwQjktNDYyQS05RTc0LTM0QUMxQTU5RUY4RCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 947217173 , Diablo Rosso III Tire — Rear , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3021291 , 0302-1291 , STANDARD , Tire - Diablo Rosso 3 - 140-70R17 - 66H , Each , PIRELLI , 2855000 ,  , 142 , 106.5 , 179.95 , 179.95 , http://asset.lemansnet.com/z/LzYvQy82LzZDNjFGRDYxLTkwQjktNDYyQS05RTc0LTM0QUMxQTU5RUY4RCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 947217173 , Diablo Rosso III Tire — Rear , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3021363 , 0302-1363 , STANDARD , Tire - Diablo Rosso 3 - 130/70R17 , Each , PIRELLI , 2854800 ,  , 142.2 , 106.65 , 180.95 , 180.95 , http://asset.lemansnet.com/z/LzMvOS84LzM5ODYzOTY2LUY1RTMtNDBEOC04Rjg1LTBCRTY5MUM4MTVDQSwvRS9BLzgvRUE4RUY0MkUtMEY0RS00NERFLUE0OTItMjlCOTE5MjA1ODNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 947217173 , Diablo Rosso III Tire — Rear , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3060523 , 0306-0523 , STANDARD , Tire - Diablo Rosso 3 - 180/55ZR17 , Each , PIRELLI , 2635500 ,  , 176.8 , 132.6 , 223.95 , 223.95 , http://asset.lemansnet.com/z/LzYvQy82LzZDNjFGRDYxLTkwQjktNDYyQS05RTc0LTM0QUMxQTU5RUY4RCwvMy85LzgvMzk4NjM5NjYtRjVFMy00MEQ4LThGODUtMEJFNjkxQzgxNUNBLG1lZGlhL2NiMWFiOTQ2LWM2MzktNDNhMS1hODBhLWVlZWRiMzUxNmE4NCxtZWRpYS84YzJjNzU3YS1mYjc4LTRkNWMtYjczZC05OGMwZTNmMDY5MzYsbWVkaWEvOWEzM2RmNGUtNjM2YS00ZDZhLWFlZWEtZGQ2MTdjMDc0MGJk , 947217173 , Diablo Rosso III Tire — Rear , http://asset.lemansnet.com/z/LzMvNy85LzM3OUNEMUZDLTFEQjUtNDVCNy05N0I4LTVENUQwQTEzRTQyNCwvNi9DLzYvNkM2MUZENjEtOTBCOS00NjJBLTlFNzQtMzRBQzFBNTlFRjhELHlTS01tcnd6S01R , High-performance silica compounds improve grip across a wide range of temperatures for optimal grip in all conditions , """Flash"" racing tread pattern promotes uniform wear for performance consistency throughout the tire's life" , Bi-compound design with a wide race compound strip offering full grip from mid-lean angle , WSBK-derived profile for agile response quick turn-in and transitions , Unprecedented handling for a new generation of sport behavior , Pirelli technology from the World Superbike Championship , Large footprint area for improved adherence , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3400869 , 0340-0869 , STANDARD , Tire - Diablo Rosso Scooter - 120/70-12 , Each , PIRELLI , 2925400 ,  , 71.1 , 53.33 , 90.95 , 90.95 , http://asset.lemansnet.com/z/LzUvQS8yLzVBMkZEQ0ZBLTA3REYtNDAxOS1BRjRELUZENkNGOTBFRjNCMg== , 1162752299 , Diablo Rosso Scooter/Street Tire — Front , http://asset.lemansnet.com/z/LzcvNi9GLzc2RkY2OUZFLTMwNTktNENFMy1CMDlCLTYxNkFDODYxNDg2NywvRC8xL0UvRDFFMkY2MzQtM0ExNi00QkIzLTlDMjYtMDA4QjZBMjA2RjJBLC81L0EvMi81QTJGRENGQS0wN0RGLTQwMTktQUY0RC1GRDZDRjkwRUYzQjI= , Breakthrough evolution of the Diablo Rosso™ III applied to high-performance scooters which improves the handling grip and performance of the tire , "The ""flash"" pattern is a proven and efficient solution to combine tread compactness void-to-rubber ratio groove orientation and water evacuation" , "Features the Diablo Rosso™ III patented ""flash"" tread pattern design for optimal wear and water drainage" , A sporty profile allows for agile handling and a high silica , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
