partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
12210165 , 1221-0165 , STANDARD , 530 Pro DR - Drag Racing Chain - 180 Links , Each , RK , 530PRODR-180 ,  , 164.63 , 159.69 , 274.38 , 293.91 , http://asset.lemansnet.com/z/L0IvQy8yL0JDMjlGOTUzLTIzMkItNDg5NC1CRkQwLTFDNzM3NTQ4MTJDMw== , 301192073 , 530 Pro DR Drag Racing Chain , http://asset.lemansnet.com/z/L0IvQy8yL0JDMjlGOTUzLTIzMkItNDg5NC1CRkQwLTFDNzM3NTQ4MTJDMw== , 530 Pro. DR the latest and strongest drag racing chain in the industry. 11900 lbs. tensile strength for Pro Stock and Pro Street , These chains are designed for drag racing only and not recommended for street use ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12210159 , 1221-0159 , STANDARD , 530 Pro DR - Drag Racing Chain - 120 Links , Each , RK , 530PRODR-120 ,  , 109.76 , 106.47 , 182.93 , 195.94 , http://asset.lemansnet.com/z/L0IvQy8yL0JDMjlGOTUzLTIzMkItNDg5NC1CRkQwLTFDNzM3NTQ4MTJDMw== , 301192073 , 530 Pro DR Drag Racing Chain , http://asset.lemansnet.com/z/L0IvQy8yL0JDMjlGOTUzLTIzMkItNDg5NC1CRkQwLTFDNzM3NTQ4MTJDMw== , 530 Pro. DR the latest and strongest drag racing chain in the industry. 11900 lbs. tensile strength for Pro Stock and Pro Street , These chains are designed for drag racing only and not recommended for street use ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12250469 , 1225-0469 , STANDARD , 530 - Pro DR - Connecting Link , Each , RK , 530PRODR-CL ,  , 3.52 , 3.41 , 5.87 , 5.95 , http://asset.lemansnet.com/z/LzgvRi85LzhGOUM2OTk3LUVDN0EtNEFGQi04Q0ZELTMzMDk4NDM5QzZFMw== , 1478057299 , 530 Pro DR Connecting Link , http://asset.lemansnet.com/z/LzYvQS84LzZBODU1Mjc5LTQ5QjEtNEY1RC1BOUUzLTczQUIzN0NGMEVGNA== , Sold as each ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12250470 , 1225-0470 , STANDARD , 530 - Pro DR - Connecting Link - Rivet , Each , RK , 530PRODR-RL ,  , 3.52 , 3.41 , 5.87 , 5.95 , http://asset.lemansnet.com/z/LzYvQS84LzZBODU1Mjc5LTQ5QjEtNEY1RC1BOUUzLTczQUIzN0NGMEVGNA== , 1478057299 , 530 Pro DR Connecting Link , http://asset.lemansnet.com/z/LzYvQS84LzZBODU1Mjc5LTQ5QjEtNEY1RC1BOUUzLTczQUIzN0NGMEVGNA== , Sold as each ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12250338 , 1225-0338 , STANDARD , 525 XSO  - Clip Connecting Link , Each , RK , 525XSO-CL ,  , 5.34 , 5.18 , 8.9 , 8.95 , http://asset.lemansnet.com/z/L0YvOC80L0Y4NEVDQTUwLUFCQUItNEVCNy05OEU3LThGNjNFMkExMjgzRQ== , 603368294 , GB 525 XSO Connecting Link , http://asset.lemansnet.com/z/L0YvOC80L0Y4NEVDQTUwLUFCQUItNEVCNy05OEU3LThGNjNFMkExMjgzRQ== , Sold as each ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12250339 , 1225-0339 , STANDARD , 525 XSO  - Rivet Connecting Link , Each , RK , 525XSO-RL ,  , 5.34 , 5.18 , 8.9 , 8.95 , http://asset.lemansnet.com/z/L0MvQi81L0NCNTQxOTBBLTg3RUItNDU0Qi1BNzJBLUNDM0RFNTU4MDI1NA== , 603368294 , GB 525 XSO Connecting Link , http://asset.lemansnet.com/z/L0YvOC80L0Y4NEVDQTUwLUFCQUItNEVCNy05OEU3LThGNjNFMkExMjgzRQ== , Sold as each ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12230716 , 1223-0716 , STANDARD , 520 GXW - Chain - 110 Links , Each , RK , 520GXW-110 ,  , 58.61 , 56.85 , 97.68 , 97.69 , http://asset.lemansnet.com/z/LzYvMi9GLzYyRjQwNkEzLUVBQjMtNDgwNS1CM0ZFLUU1RjQ2NEVDODNGNg== , 317195160 , XW-Ring 520 GXW Chain , http://asset.lemansnet.com/z/LzYvMi9GLzYyRjQwNkEzLUVBQjMtNDgwNS1CM0ZFLUU1RjQ2NEVDODNGNg== , Advanced design XW-ring provides better sealing to extend wear life up to 100 percent , XW-ring chains are the best high-speed extreme heat performance chains available today , Chains include rivet connecting link ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231178 , 1223-1178 , STANDARD , BG 530 GXW - Chain - 130 Links , Each , RK , BG530GXW-130 ,  , 126.24 , 122.45 , 210.4 , 210.41 , http://asset.lemansnet.com/z/LzUvNC8wLzU0MDk2Rjg1LTRERkYtNEI5My04RjNGLTJGNkY5QUI1MDI0Nw== , 1477786032 , XW-Ring BG 530 GXW Chain , http://asset.lemansnet.com/z/LzUvNC8wLzU0MDk2Rjg1LTRERkYtNEI5My04RjNGLTJGNkY5QUI1MDI0Nw== , Advanced design XW-ring provides better sealing to extend wear life up to 100 percent , XW-ring chains are the best high-speed extreme heat performance chains available today ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
GB527GXW , GB527GXW , STANDARD , GB 525 GXW - Rivet - Connecting Link , Each , RK , GB525GXW-RIV ,  , 8.33 , 8.08 , 13.88 , 16.95 , http://asset.lemansnet.com/z/LzcvMi9ELzcyRDQyRjAxLTY1ODYtNDg3Qi1BREIzLTVBM0NFMDc1NEU1RSwvQi9CLzEvQkIxMDQ3OTgtNDQ1My00MTE0LUI2RTUtNkYzNTEzNDU0RTdG , 163063926 , 525 GXW Connecting Link , http://asset.lemansnet.com/z/LzIvQi9DLzJCQzBGQzdBLUREMTYtNEY1MS04MkIwLTYxQUM5RURCNUVCNQ== , Master rivet connecting link for XW-Ring chain ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12220427 , 1222-0427 , STANDARD , 520 - Max Series - Bulk Chain - 25 Feet , Each , RK , 520MAXO-25FT ,  , 159.94 , 155.14 , 266.57 , 266.57 , http://asset.lemansnet.com/z/L0QvRi83L0RGNzQzODUwLTc3QjktNEFFNC04QzhDLTU3RUREMEVFOTZBMg== , 224507337 , Max Series Bulk Chain — 520 MAX O , http://asset.lemansnet.com/z/L0IvNi80L0I2NEJEQ0QzLTM3NUItNDcyRS05N0MwLTUxMTlCNkU0MUVENg== , Maximum performance maximum value , Extremely high tensile strength and durability , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
