partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
12102376 , 1210-2376 , STANDARD , Edge Rear Sprocket - Black - 48-Tooth , Each , SUPERSPROX , RFA130443BLK ,  , 29.87 , 29.87 , 45.95 , 45.95 , http://asset.lemansnet.com/z/L0QvNS84L0Q1ODYwQTA5LTcwNjMtNDQ4MS1CQ0ZFLTU3QkFBQTE3MjJDOQ== , 1805337661 , Edge Rear Sprocket , http://asset.lemansnet.com/z/LzQvMS8wLzQxMDIzRjBGLTgxRTYtNDBBRi1CNjBFLUQwMUY1RTU5NzNCQQ== , Reduces weight by 5%-15% depending on the model , Cost effective option for mid-range bikes , Must order Edge Disc with Edge Steel Sprocket for OEM sprocket width ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12102377 , 1210-2377 , STANDARD , Edge Rear Sprocket - Black - 45-Tooth , Each , SUPERSPROX , RFA130445BLK ,  , 32.47 , 32.47 , 49.95 , 49.95 , http://asset.lemansnet.com/z/L0MvNS8yL0M1MkI0RUQzLTAwRkEtNEE4Qi05OERDLTJFMkVFODJENzY5Ng== , 1805337661 , Edge Rear Sprocket , http://asset.lemansnet.com/z/LzQvMS8wLzQxMDIzRjBGLTgxRTYtNDBBRi1CNjBFLUQwMUY1RTU5NzNCQQ== , Reduces weight by 5%-15% depending on the model , Cost effective option for mid-range bikes , Must order Edge Disc with Edge Steel Sprocket for OEM sprocket width ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12102378 , 1210-2378 , STANDARD , Edge Rear Sprocket - Black - 42-Tooth , Each , SUPERSPROX , RFA130642BLK ,  , 32.47 , 32.47 , 49.95 , 49.95 , http://asset.lemansnet.com/z/LzEvOC9CLzE4Qjk1MjJELTUxNTYtNDcxRC1CNDU3LTYxOURCMkY1RUI4Qg== , 1805337661 , Edge Rear Sprocket , http://asset.lemansnet.com/z/LzQvMS8wLzQxMDIzRjBGLTgxRTYtNDBBRi1CNjBFLUQwMUY1RTU5NzNCQQ== , Reduces weight by 5%-15% depending on the model , Cost effective option for mid-range bikes , Must order Edge Disc with Edge Steel Sprocket for OEM sprocket width ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12102394 , 1210-2394 , STANDARD , Edge Rear Sprocket - Black - 45-Tooth , Each , SUPERSPROX , RFA80745BLK ,  , 29.87 , 29.87 , 45.95 , 45.95 , http://asset.lemansnet.com/z/LzkvNC84Lzk0ODhFMEVGLTRGMTEtNDY3QS1BQURFLTFEQUEzNUU2MjBDNw== , 1805337661 , Edge Rear Sprocket , http://asset.lemansnet.com/z/LzQvMS8wLzQxMDIzRjBGLTgxRTYtNDBBRi1CNjBFLUQwMUY1RTU5NzNCQQ== , Reduces weight by 5%-15% depending on the model , Cost effective option for mid-range bikes , Must order Edge Disc with Edge Steel Sprocket for OEM sprocket width ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12102396 , 1210-2396 , STANDARD , Edge Rear Sprocket - Black - 47-Tooth , Each , SUPERSPROX , RFA82947BLK ,  , 32.47 , 32.47 , 49.95 , 49.95 , http://asset.lemansnet.com/z/LzUvMy84LzUzODlFMjI0LURFRkQtNDIwOS1BM0Y0LTA2Mzk4NjY4MDAxRA== , 1805337661 , Edge Rear Sprocket , http://asset.lemansnet.com/z/LzQvMS8wLzQxMDIzRjBGLTgxRTYtNDBBRi1CNjBFLUQwMUY1RTU5NzNCQQ== , Reduces weight by 5%-15% depending on the model , Cost effective option for mid-range bikes , Must order Edge Disc with Edge Steel Sprocket for OEM sprocket width ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12101876 , 1210-1876 , STANDARD , Steel Rear Sprocket - 38-Tooth , Each , SUPERSPROX , RFE-1350-38-BLK ,  , 26 , 26 , 39.95 , 39.95 , http://asset.lemansnet.com/z/LzQvRS9BLzRFQTNBMTMzLTExNDctNEUwQS1BMjM1LTAxMUMyNkMwNEM4Mw== , 2123241633 , Stealth Rear Sprocket , http://asset.lemansnet.com/z/LzQvRS9BLzRFQTNBMTMzLTExNDctNEUwQS1BMjM1LTAxMUMyNkMwNEM4Mw== , Gives you longer system life without compromising weight , Steel teeth last 4 times longer than aluminum , Pound-for-pound the strongest sprocket on the market , The aluminum core is 70% lighter than steel , Forging rivets into the sprockets provide exceptional strength , Designed for bikes up to 1400cc in displacement , Steel teeth last 4 times longer than aluminum , Great for street MX off-road and ATV applications of all sizes ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12101877 , 1210-1877 , STANDARD , Steel Rear Sprocket - 39-Tooth , Each , SUPERSPROX , RFE-1350-39-BLK ,  , 26 , 26 , 39.95 , 39.95 , http://asset.lemansnet.com/z/LzUvMy9DLzUzQzE0QUJELUE4Q0MtNDBBMS04QzdCLUU0RDM2N0FFN0VFQQ== , 2123241633 , Stealth Rear Sprocket , http://asset.lemansnet.com/z/LzQvRS9BLzRFQTNBMTMzLTExNDctNEUwQS1BMjM1LTAxMUMyNkMwNEM4Mw== , Gives you longer system life without compromising weight , Steel teeth last 4 times longer than aluminum , Pound-for-pound the strongest sprocket on the market , The aluminum core is 70% lighter than steel , Forging rivets into the sprockets provide exceptional strength , Designed for bikes up to 1400cc in displacement , Steel teeth last 4 times longer than aluminum , Great for street MX off-road and ATV applications of all sizes ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12111947 , 1211-1947 , STANDARD , Rear Sprocket - Black - Kawasaki - 38-Tooth , Each , SUPERSPROX , RAL-801-38-BLK ,  , 35.8 , 35.8 , 54.95 , 54.95 , http://asset.lemansnet.com/z/LzQvOS9ELzQ5RDI1M0U3LTJFMEUtNEM4Qy05MjhFLTg1MDJBN0Y5NkQ1RA== , 391756952 , Aluminum Rear Sprocket , http://asset.lemansnet.com/z/LzMvRC8xLzNEMUQ5QjQ1LTRDRTktNDFBNC1BMDlGLUEwNDRBQTY0NzU2MQ== , Made from 7075-T6 aluminum for high strength , Fully CNC machined for a perfect fit , Grooved teeth prevent dirt build up helping to maximize sprocket and chain life , Finished with durable anodizing and great colors , The lightest and strongest aluminum sprocket on the market ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12111951 , 1211-1951 , STANDARD , Rear Sprocket - Black - Yamaha - 35-Tooth , Each , SUPERSPROX , RAL-834-35-BLK ,  , 35.8 , 35.8 , 54.95 , 54.95 , http://asset.lemansnet.com/z/L0IvMy8xL0IzMTI2RjdGLTM0RkYtNEU1OC04N0E5LTU3QzFBMjVBM0JGMQ== , 391756952 , Aluminum Rear Sprocket , http://asset.lemansnet.com/z/LzMvRC8xLzNEMUQ5QjQ1LTRDRTktNDFBNC1BMDlGLUEwNDRBQTY0NzU2MQ== , Made from 7075-T6 aluminum for high strength , Fully CNC machined for a perfect fit , Grooved teeth prevent dirt build up helping to maximize sprocket and chain life , Finished with durable anodizing and great colors , The lightest and strongest aluminum sprocket on the market ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12111953 , 1211-1953 , STANDARD , Rear Sprocket - Black - Yamaha - 40-Tooth , Each , SUPERSPROX , RAL-853-40-BLK ,  , 39 , 39 , 59.95 , 59.95 , http://asset.lemansnet.com/z/L0IvMC9FL0IwRTA4NkIyLTQ1RkQtNEUyMy04RkY1LThDRTc3RTEwNUYyMw== , 391756952 , Aluminum Rear Sprocket , http://asset.lemansnet.com/z/LzMvRC8xLzNEMUQ5QjQ1LTRDRTktNDFBNC1BMDlGLUEwNDRBQTY0NzU2MQ== , Made from 7075-T6 aluminum for high strength , Fully CNC machined for a perfect fit , Grooved teeth prevent dirt build up helping to maximize sprocket and chain life , Finished with durable anodizing and great colors , The lightest and strongest aluminum sprocket on the market ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
